name,gfn2_alpha(A^3),add_alpha(A^3),dft_alpha(A^3),subset
11615382,21.482527862912306,22.46100000000001,22.439703945,pcqc
65039753,22.755053549884085,23.84200000000001,22.444100100000004,pcqc
28303687,22.231231264821144,23.302,22.448693835,pcqc
63023304,21.894256267684327,22.999,22.45081782,pcqc
19930624,21.35690812673021,22.527000000000005,22.451459955000004,pcqc
57268072,22.162185339525447,23.19800000000001,22.45338636,pcqc
64441932,22.49061748805717,23.71700000000001,22.4559549,pcqc
54373206,21.70332026720466,23.006999999999998,22.458671625,pcqc
18791229,22.529341116807927,23.665,22.45921497,pcqc
43375774,22.24632847139069,23.474,22.461487140000006,pcqc
5018940,22.069116005207047,23.032,22.461635325000003,pcqc
60332980,21.815297822497225,22.726000000000006,22.46514237,pcqc
118168,21.03121428347816,22.09,22.46514237,pcqc
43207655,22.602222655170298,23.956000000000003,22.465488135,pcqc
21186455,22.812605676234327,23.88900000000001,22.465685715000006,pcqc
39240428,22.42149272849509,24.053,22.466969985,pcqc
59327428,23.054144977398373,24.169000000000004,22.47215646,pcqc
64388820,23.049765526441305,23.84200000000001,22.47512016000001,pcqc
4419849,21.539012318417807,22.624,22.476848985000004,pcqc
63040161,22.217357915782017,23.43500000000001,22.477145355000005,pcqc
10965902,22.82823293951612,24.06300000000001,22.477935675,pcqc
1539356,22.310591883314654,23.556000000000008,22.4786766,pcqc
59712230,22.377991476468072,23.703000000000003,22.479219945,pcqc
63202901,22.515834821298643,23.72300000000001,22.479763290000005,pcqc
62670058,22.4752794813318,23.756999999999998,22.480652400000004,pcqc
6421581,22.67297122279856,24.126000000000005,22.48124514,pcqc
22675151,22.330874813855324,23.130000000000006,22.48134393,pcqc
59839394,23.08370397449552,23.96500000000001,22.481492115,pcqc
65273579,21.32671875187129,21.791000000000004,22.483171545,pcqc
21717961,23.380695772835725,24.602000000000004,22.483270335,pcqc
62748789,21.99387625534942,23.01400000000001,22.48381368,pcqc
20583972,22.467534162842803,23.94600000000001,22.483912470000003,pcqc
62801339,22.006730093574962,23.509000000000004,22.484011260000006,pcqc
15332557,20.46916004653648,21.831,22.485740085000003,pcqc
12359509,22.058068094057827,22.96100000000001,22.485838875,pcqc
62973635,22.710290949594683,23.63900000000001,22.48727133000001,pcqc
556795,22.884817864255872,24.501000000000005,22.48727133000001,pcqc
45096884,22.289864398640155,23.60100000000001,22.488703785,pcqc
