ID,SMILES
62769682,CC1=CC(=CC=C1)CSCCCC(=O)OC
21679597,C[C@@H]1CCC(=O)C(C1)(Cl)Cl
62973228,CC(CCNC)N1CCCOCC1
16793006,C1=CN=CC=C1C2=CC(=NO2)C(=O)O
62948206,COC1=CC(=C(C=C1)C(=N)N)Cl
50968642,CC1CCCCN1CCN(C)CC2=NC=CN2
62549526,CC#CCCNCCOC
7171894,C[C@H](C(=O)[O-])OC1=CC=C(C=C1)N2C=NC=N2
23053508,CC1=C(C=CC=C1O)NCC(F)(F)F
13347587,CC12CCCCC1CN(CO2)C
62603216,CC1=CC=C(C=C1)CC(CCOC(C)C)N
54043511,CC1=CC(=CC(=C1)OCC(=C)C)C(C)C
62531189,CCC(CC1=CC(=CC=C1)Cl)CNC2CC2
64297650,CC1=C(N=CC=C1)C(CCCC=C)N
64576472,CCCNCC(CN1CCN2C=NN=C2C1)O
4739522,C1=C(C=NC=C1C(=O)O)C=O
54060114,CC1=CC=CC=C1OC(C(C)O)OC(=O)C=C
20153863,CN1C2CCC(C1C(=O)O)C(C2)C(=O)O
64984326,CC(C1=CN=C(S1)C2CC3=CC=CC=C23)N
13153468,CC1=NC=CN=C1C(=O)O
523523,CC1CCC(=C)C1
16639560,COC(=O)C(C#N)C(=O)C1=CC=CC=C1Cl
21459283,C(C#CCl)F
64462574,CCCC(C)CN1C(=C(C(=N1)C)CCNC)C
28280673,COC1=C(C=C(C=C1)Cl)SCC=O
16775881,CC1=C(C=CC(=C1)C(=O)NC(C)(C)C)N
62670058,CC1CN(CCN1)C2=C(C=C(C=C2)F)C
18332314,CC(C)(C)OC(=O)N1C=NC=C1CO
21024481,CCC1(CC2CCC2C1)C=C
64789489,CC(CN1CCN2C=CN=C2C1)(CO)N
16776187,C1CC(N(C1)C(=O)C2=CC=CC=C2O)C(=O)O
19910066,CN1CC2=C(C1)CNCC2
63889449,CC(C)COCC1=CC(=NC=C1)CN
21786222,C1=CC=C2C(=C1)C=CC3=C2C=CN4C3=NN=C4
62510826,CC1=CC(=C(C=C1)F)C2=NNC(=N2)C
63017893,COC1=CC=CC=C1CC(C2CCOCC2)O
54861812,CCOCC1=CC=CC=C1CNCCN(C)C
