Folder,Molecule,alpha_GFN2,alpha_wb97,error
mike-copolymer,46-69,28.603765528,30.686912,2.083146472
mike-copolymer,7-91,23.925083708,26.005968,2.080884292
mike-copolymer,33-91,25.485109824,27.56504933,2.079939506
mike-copolymer,10-53,24.027933792000002,26.10710133,2.079167538
pubchemqc,60725344,25.345829094708524,27.42158082170205,2.07575172699353
mike-copolymer,18-84,34.024513576,36.100159999999995,2.075646424
pubchemqc,22749637,24.857719176878486,26.93257127448986,2.07485209761137
pubchemqc,344311,26.002923522628585,28.07655724554384,2.07363372291525
mike-copolymer,55-69,31.391657215999995,33.46462533,2.072968114
mike-copolymer,37-51,28.566553591999998,30.63619733,2.069643738
mike-copolymer,58-59,26.020372988,28.08837733,2.068004342
pubchemqc,10977339,24.786083427383808,26.852551530400596,2.06646810301679
pubchemqc,12557668,16.888003542303547,18.95282457225449,2.06482102995094
pubchemqc,19431551,16.426530419064292,18.490488273072046,2.06395785400775
mike-copolymer,20-63,31.497909227999994,33.559591999999995,2.061682772
mike-copolymer,10-50,23.665732207999998,25.727135999999998,2.061403792
mike-copolymer,11-59,25.779599632,27.84067467,2.061075038
mike-copolymer,6-83,26.45126744,28.51165733,2.06038989
mike-copolymer,9-63,29.495702624,31.55577067,2.060068046
mike-copolymer,41-71,28.006531359999997,30.065608,2.05907664
pubchemqc,6193989,16.924903758182047,18.983943361622536,2.05903960344049
mike-copolymer,70-78,27.039328272,29.098132,2.058803728
pubchemqc,53716742,22.90345060985177,24.961714614513436,2.05826400466167
mike-copolymer,44-56,25.507010272,27.565147999999997,2.058137728
mike-copolymer,39-74,28.642858988,30.70033067,2.057471682
mike-copolymer,25-50,27.893557188000003,29.95036533,2.056808142
mike-copolymer,65-85,30.366312179999998,32.42300133,2.05668915
mike-copolymer,28-43,26.642668144,28.69907467,2.056406526
mike-copolymer,22-92,27.328473652,29.384659999999997,2.056186348
kyle-mutants,1072,51.638194559999995,53.69370933,2.05551477
mike-copolymer,39-76,33.086307831999996,35.14121867,2.05491083800001
mike-copolymer,24-59,26.735559603999995,28.790440000000004,2.05488039600001
mike-copolymer,50-70,26.975534647999996,29.03039733,2.054862682
mike-copolymer,45-50,24.975692492,27.030128,2.054435508
mike-copolymer,18-57,33.873775132,35.92808533,2.054310198
mike-copolymer,38-69,30.677886368,32.731828,2.053941632
kyle-mutants,1529,71.36216862,73.414956,2.05278738
mike-copolymer,58-85,27.192711623999998,29.243911999999998,2.051200376
pubchemqc,63890404,25.26471382104879,27.31488782958303,2.05017400853424
mike-copolymer,17-44,25.856918531999998,27.90663333,2.049714798
mike-copolymer,31-57,28.956728507999998,31.006,2.049271492
mike-copolymer,64-80,27.171088676,29.2189,2.047811324
mike-copolymer,89-91,27.922524487999997,29.967928000000004,2.04540351200001
mike-copolymer,7-78,25.166800007999996,27.21182267,2.045022662
mike-copolymer,64-85,28.641485695999997,30.686467999999998,2.044982304
pubchemqc,57107229,22.338268786393886,24.38083054630986,2.04256175991597
pubchemqc,19811395,23.70175291647194,25.744129890052942,2.042376973581
pubchemqc,13809896,23.943015853149443,25.984189122320753,2.04117326917131
mike-copolymer,15-37,24.332935151999997,26.372712,2.039776848
mike-copolymer,1-59,23.329229935999997,25.36887733,2.039647394
mike-copolymer,45-65,26.279963507999998,28.318616,2.038652492
mike-copolymer,27-34,29.640083728,31.67870933,2.038625602
homopolymer,3-sp23,40.252285347999994,42.290556,2.03827065200001
pubchemqc,22124227,16.051132904510037,18.08890770551294,2.0377748010029
mike-copolymer,41-100,29.037773604,31.074524,2.036750396
mike-copolymer,65-80,28.895821328,30.932444,2.036622672
pubchemqc,12221925,22.166416309401807,24.203008892778147,2.03659258337634
pubchemqc,239913,30.037012820635773,28.000983042792875,2.0360297778429
mike-copolymer,16-65,28.006439452,30.04158267,2.035143218
pubchemqc,57752840,27.516413998638786,29.55099512274425,2.03458112410546
mike-copolymer,11-77,26.845424591999997,28.879240000000003,2.03381540800001
mike-copolymer,29-83,28.745091911999996,30.77877067,2.033678758
kyle-mutants,854,52.093059831999994,54.12656,2.033500168
kyle-mutants,1173,65.063473028,67.09644133,2.032968302
mike-copolymer,75-92,29.455109776,31.487147999999998,2.032038224
mike-copolymer,50-67,31.512083039999997,33.544052,2.03196896
pubchemqc,54216990,27.509707899529968,29.5406221929549,2.03091429342493
homopolymer,2-sp51,30.930340771999997,32.96068533,2.030344558
mike-copolymer,57-76,33.789150803999995,35.81886133,2.029710526
pubchemqc,15638756,24.64833240162837,26.67769357109441,2.02936116946604
mike-copolymer,37-64,26.464717384,28.493996000000003,2.029278616
mike-copolymer,70-77,28.372210499999998,30.40137067,2.02916017
mike-copolymer,31-53,27.701322651999998,29.72954933,2.028226678
pubchemqc,40089790,23.431574697083057,25.45961524440221,2.02804054731915
mike-copolymer,55-91,28.729803067999995,30.757064,2.027260932
