ID,subset,GFN2,wB97X/cc-pVTZ,GFN2_dipole,wB97X_dipole
337_515_101010,addl_n,176.893687510065,320.3153297343,7.5329999999999995,6.75362
520_515_111111,addl_n,184.176024615,1339.6737002184002,18.213,35.49556
257_977_100101,addl_n,194.40166509198002,227.22198000390003,12.485999999999999,7.91419
222_515_111100,addl_n,208.85638692096,1205.4178264491002,29.0,12.75115
791_558_000101,addl_co,82.10207544196501,130.07048180085002,10.932,11.02716
582_63_100011,addl_co,98.54926092117003,188.19316585259998,21.383000000000003,17.93121
166_554_010111,addl_co,109.070870261355,196.36976075625,13.207,5.60901
43_276_101010,addl_co,114.61535029296002,212.8291443801,11.702,9.47654
1056_434_101010,addl_co,122.276736625905,213.22884229875004,12.849,12.45978
720_785_100011,addl_co,135.87107559898502,428.0624303454,19.86,14.49365
669_1018_110111,addl_co,145.76025492058503,148.9934588319,6.232,6.02718
804_1084_000000,addl_co,150.769764133515,253.45059608295003,13.636,12.3024
289_21_110111,addl_co,161.18067394404,195.66502697880006,12.645999999999999,11.472539999999999
373_998_011000,addl_co,172.412928754065,228.40127328015,7.443,7.394710000000001
496_979_000011,addl_co,185.09489801680505,491.06023344810006,7.849,11.01102
646_877_110000,addl_co,190.26949910093998,308.701096227,10.215,9.64945
525_1167_001111,addl_co,206.17470401823002,404.81423101620004,15.120999999999999,31.20914
1130_1192_010111,addl_cf3,81.94148661654,140.9344205706,17.839000000000002,9.49237
399_1134_101011,addl_cf3,100.90588950526501,200.52597954375,12.013,15.601429999999999
944_115_101010,addl_cf3,115.54894187352,269.3824677801001,20.023,11.84966
104_680_100010,addl_cf3,124.335703481355,287.3102417604,17.809,11.81184
1081_100_001010,addl_cf3,132.88849801546502,287.1796107555,10.782,6.98884
464_984_000101,addl_cf3,141.14704885613997,211.5521868159,10.229,6.794
480_666_011111,addl_cf3,157.04691896524503,170.78976968625,4.4719999999999995,3.40818
1107_198_010111,addl_cf3,165.34040604970502,242.555668866,9.596,7.58357
284_879_000111,addl_cf3,177.13939498496998,458.83968724710013,10.035,42.00448
822_132_101101,addl_cf3,185.54029707856503,226.1526800076,4.171,2.2231799999999997
617_801_011011,addl_cf3,197.12195789283,229.77572768325,5.207000000000001,5.229019999999999
1073_1156_000011,addl_cf3,205.09976024801998,1281.29936247225,79.283,82.70053
