ID,alpha_GFN2(A^3),gap_GFN2(eV),alpha_DFT(A^3),gap_DFT(eV),pi_sys_size
63354470,22.411167514182768,2.818,23.680901505,8.8711836401505,12
63355339,23.070701358819857,7.7759,23.44899198000001,11.0791154231075,1
63357826,23.25638095122113,2.5697,25.38102801,8.180286573731001,10
63358736,25.77629990176279,3.1644,26.637933180000005,8.599886131202,11
63361814,24.68143819978992,3.2908,24.09705438000001,10.517200321825,5
63363898,20.134629208027466,9.4784,20.035945665000003,11.316398700743498,1
63364765,22.519566705067426,4.1483,22.63644423,9.6940559240625,7
63365320,23.46581588650243,3.4942,23.33014761,9.591469002424,6
63366317,24.313024927047554,3.9614,24.27186328500001,10.031204984832,7
63371468,25.21322733948521,3.25,25.84771197,8.8913200650875,7
63377404,24.28950119687126,2.63,25.957319475,8.497299209563499,11
63377407,24.218133217149862,2.7576,25.65694848,8.460019612045,11
63377932,25.0063794128934,1.996,25.135979415,8.463012864400499,8
63380865,25.695855163921586,2.3306,27.116521335,8.546007588802999,6
63380891,25.28538973744376,2.3169999999999997,25.62632358,8.547912385756499,6
63380909,25.69548588762108,2.33,27.361816905000005,8.5506335242615,6
63384942,24.7310455510298,3.3655,24.6520566,9.235271972119499,11
63385341,18.897929990516264,4.2494,17.97553203,11.197484948075,5
63386420,19.375194121143274,3.4351,19.5228798,8.874449006356501,7
63387648,26.304601514278197,3.674,26.459271465,9.86684821913,6
63387740,27.04290279400957,3.5458,27.136773285000004,9.672558929873,6
63388164,24.720847331015037,5.0507,24.470283,10.804008320251999,1
63388308,24.158229992170504,3.3992,24.121356720000005,9.2086048147705,6
63389202,20.64753176171645,4.242,19.77143544,11.258710564437498,5
63389564,22.988112684575906,4.8185,22.955486535,10.473117878044,1
63389614,20.48694428647561,5.0216,20.608285530000003,10.8167976712255,1
63390005,20.43268023068387,3.6183,20.692010055,9.436364107639001,7
63392436,21.25360663809817,3.1496,21.946741845,8.520428886856001,7
63392487,21.1693028740059,2.6894,21.758250525000005,7.993072244587001,8
63394587,24.75685517856224,4.2854,24.30634099500001,10.107396862972,6
63395867,20.62156342835823,4.782,20.202011655000003,10.86278491196,3
63399955,29.061188934524232,9.7438,29.36231440500001,10.9637391504955,1
63419917,27.525096437241892,9.3234,27.383847075,10.7193809127465,1
63420529,25.22954010524137,3.7030000000000003,26.133955995,9.107106348534,7
63429490,26.35924032920475,4.0718,27.49770255000001,9.4692898835495,7
63448388,29.057621239415546,9.9088,29.34072879,10.7128501803345,1
63454505,29.064754258677546,9.6692,29.440160925000008,11.042107939439502,1
